FID,IID,POP
2FACC,2FACC,2
5A3,5A3,5
5B7,5B7,5
5E3,5E3,5
6B10,6B10,5
6B11,6B11,5
6B2,6B2,5
6B3,6B3,5
6B4,6B4,5
6B5,6B5,5
6B6,6B6,5
6C10,6C10,5
6C11,6C11,5
6C12,6C12,5
6C6,6C6,5
6C7,6C7,5
6C8,6C8,5
6C9,6C9,5
6D1,6D1,5
6D12,6D12,5
6D2,6D2,5
6D3,6D3,5
6D4,6D4,5
6D5,6D5,5
6D8,6D8,5
6D9,6D9,5
78551S,78551S,3
A239,A239,3
A632,A632,2
A634,A634,2
A635,A635,2
A641,A641,2
A659,A659,3
A661,A661,3
A679,A679,2
A680,A680,2
B10,B10,2
B103,B103,1
B104,B104,2
B105,B105,3
B109,B109,2
B14A,B14A,2
B37,B37,3
B46,B46,3
B57,B57,3
B64,B64,2
B68,B68,2
B73,B73,2
B75,B75,3
B79,B79,3
B84,B84,2
B95,B95,3
B97,B97,3
CH701-30,CH701-30,3
CM105,CM105,2
CM7,CM7,3
CML_108,CML_108,3
CML_220,CML_220,3
CML_228,CML_228,3
CML_247,CML_247,3
CML_254,CML_254,3
CML_264,CML_264,3
CML_277,CML_277,3
CML_287,CML_287,3
CML_322,CML_322,3
CML_52,CML_52,3
CML_91,CML_91,3
CML10,CML10,3
CML11,CML11,3
CML14,CML14,3
CML157Q,CML157Q,3
CML158Q,CML158Q,3
CML238,CML238,3
CML261,CML261,3
CML281,CML281,3
CML311,CML311,3
CML314,CML314,3
CML321,CML321,3
CML328,CML328,3
CML331,CML331,3
CML332,CML332,3
CML333,CML333,3
CML38,CML38,3
CML45,CML45,3
CML69,CML69,3
CML92,CML92,3
CMV3,CMV3,3
CO106,CO106,3
CR14,CR14,2
DE811,DE811,2
DJ7,DJ7,2
DK78004,DK78004,2
E8501,E8501,3
EP1,EP1,4
F2,F2,4
F2834T,F2834T,3
F42,F42,2
F7,F7,4
FS16094A,FS16094A,4
GA209,GA209,3
GT112,GT112,3
H114,H114,3
H49,H49,3
H84,H84,3
H95,H95,3
HB8229,HB8229,2
I29,I29,3
IBB15,IBB15,1
K4,K4,3
Ki11,Ki11,3
Ki14,Ki14,3
Ki43,Ki43,3
Ki44,Ki44,3
Ky21,Ky21,3
Ky226,Ky226,3
LH1,LH1,3
LH123HT,LH123HT,3
LH145,LH145,2
LH194,LH194,2
LH208,LH208,2
LH220Ht,LH220Ht,2
LH38,LH38,3
LH39,LH39,2
LH57,LH57,3
LP5,LP5,2
MBPM,MBPM,3
ML606,ML606,3
Mo1W,Mo1W,3
Mo24W,Mo24W,3
Mp339,Mp339,3
N192,N192,2
N28Ht,N28Ht,3
N6,N6,3
NC222,NC222,3
NC230,NC230,3
NC250,NC250,3
NC260,NC260,3
NC264,NC264,3
NC290A,NC290A,3
NC294,NC294,2
NC296,NC296,3
NC310,NC310,2
NC314,NC314,2
NC326,NC326,2
NC33,NC33,3
NC336,NC336,3
NC338,NC338,3
NC340,NC340,3
NC342,NC342,3
NC350,NC350,3
NC360,NC360,3
NC362,NC362,3
NC366,NC366,3
NS501,NS501,3
NS701,NS701,2
Oh40B,Oh40B,3
Oh43,Oh43,3
Oh43E,Oh43E,3
Oh7,Oh7,3
Oh7B,Oh7B,3
Pa762,Pa762,3
Pa875,Pa875,3
Pa880,Pa880,3
Pa91,Pa91,3
PHB47,PHB47,3
PHG35,PHG35,3
PHG50,PHG50,1
PHG71,PHG71,2
PHG86,PHG86,2
PHJ40,PHJ40,3
PHT10,PHT10,2
PHT77,PHT77,2
PHW17,PHW17,2
PHWG5,PHWG5,3
R229,R229,2
S014290,S014290,1
S014393_2,S014393_2,1
S014393_3,S014393_3,1
S019092_1,S019092_1,4
S022237A1,S022237A1,4
S022588,S022588,4
S024136,S024136,1
S03199,S03199,1
S03729A,S03729A,1
S040299A2,S040299A2,1
S040464A,S040464A,1
S041844,S041844,1
S046306,S046306,1
S046392,S046392,1
S052662,S052662,1
S06686,S06686,1
S06757,S06757,1
S06770,S06770,1
S06881A,S06881A,1
S09347,S09347,4
S12211_21,S12211_21,1
S12371_2_3,S12371_2_3,1
S12394,S12394,1
S12402_4_4,S12402_4_4,1
S12418,S12418,1
S12442,S12442,1
S12544_1_2_2,S12544_1_2_2,1
S12607,S12607,1
S14036,S14036,4
S14068A3,S14068A3,4
S14189_1,S14189_1,4
S14189_2,S14189_2,4
S14225_1,S14225_1,1
S14225_2,S14225_2,1
S14225_3,S14225_3,1
S14237,S14237,1
S15153A_3,S15153A_3,4
S152,S152,4
S160,S160,3
S16410,S16410,1
S16445_3,S16445_3,1
S16448A,S16448A,1
S16567A,S16567A,1
S16582A,S16582A,1
S17030,S17030,4
S17041,S17041,4
S17123_2,S17123_2,4
S17134,S17134,4
S17153_1,S17153_1,4
S245,S245,1
S299,S299,1
S336A,S336A,3
S40620,S40620,1
S41789,S41789,1
S41796,S41796,1
S50676,S50676,1
S54555,S54555,1
S54793,S54793,1
S56125A,S56125A,1
S63648,S63648,1
S64411,S64411,1
S64417,S64417,1
S64423_2,S64423_2,1
S64423_3,S64423_3,1
S67697,S67697,1
S68312,S68312,1
S68315A,S68315A,1
S68911,S68911,1
S71533,S71533,1
S74002,S74002,1
S76671,S76671,1
S79292,S79292,1
S79621,S79621,1
S79757,S79757,4
S80660A,S80660A,4
S84854,S84854,1
SD44,SD44,3
SH04_52_119,SH04_52_119,1
SH12536_3,SH12536_3,1
SH13255_1,SH13255_1,4
SH14467_9,SH14467_9,1
SH147_10_8,SH147_10_8,1
SH15405_2,SH15405_2,1
SH17_08_8,SH17_08_8,1
SH2_08_12,SH2_08_12,1
SH26_07_10,SH26_07_10,1
SH27_07_22,SH27_07_22,1
SH27_07_7,SH27_07_7,1
SH32_08_17,SH32_08_17,4
SH4_08_52,SH4_08_52,1
SR14259_23,SR14259_23,1
SR15295_9,SR15295_9,1
SR17011_19,SR17011_19,4
SR17327_15,SR17327_15,1
SR17336_3,SR17336_3,1
SR17363_22,SR17363_22,1
SR17369_35,SR17369_35,1
SR7_12_18,SR7_12_18,1
SR7_12_21,SR7_12_21,1
