VCFname;Taxa;ID;group;era_original;era_2;meta_original;subpopulation;population
B103;B103;B103;Iodent;NA;I;NSS;Iodent_I;Iodent
S245;S245;S245;Iodent;I;I;Poland;Iodent_I;Iodent
S336A;S336A;S336A;Iodent;I;I;Poland;Iodent_I;Iodent
S40620;S40620;S40620;Iodent;I;I;Poland;Iodent_I;Iodent
S41789;S41789;S41789;Iodent;I;I;Poland;Iodent_I;Iodent
S41796;S41796;S41796;Iodent;I;I;Poland;Iodent_I;Iodent
S50676;S50676;S50676;Iodent;I;I;Poland;Iodent_I;Iodent
S54555;S54555;S54555;Iodent;I;I;Poland;Iodent_I;Iodent
S54793;S54793;S54793;Iodent;I;I;Poland;Iodent_I;Iodent
S56125A;S56125A;S56125A;Iodent;I;I;Poland;Iodent_I;Iodent
S63648;S63648;S63648;Iodent;I;I;Poland;Iodent_I;Iodent
S64423_2;S64423_2;S644232;Iodent;I;I;Poland;Iodent_I;Iodent
S64423_3;S64423_3;S644233;Iodent;I;I;Poland;Iodent_I;Iodent
S68911;S68911;S68911;Iodent;NA;I;Poland;Iodent_I;Iodent
UH304;UH304;UH304;Iodent;NA;I;SS;Iodent_I;Iodent
IBB15;IBB15;IBB15;Iodent;II;II;IDT;Iodent_II;Iodent
PHG50;PHG50;PHG50;Iodent;II;II;IDT;Iodent_II;Iodent
PHG71;PHG71;PHG71;Iodent;II;II;SS;Iodent_II;Iodent
S014290;S014290;S014290;Iodent;II;II;Poland;Iodent_II;Iodent
S024136;S024136;S024136;Iodent;II;II;Poland;Iodent_II;Iodent
S041844;S041844;S041844;Iodent;II;II;Poland;Iodent_II;Iodent
S052662;S052662;S052662;Iodent;II;II;Poland;Iodent_II;Iodent
S06686;S06686;S06686;Iodent;II;II;Poland;Iodent_II;Iodent
S06881A;S06881A;S06881A;Iodent;II;II;Poland;Iodent_II;Iodent
S12211_21;S12211_21;S1221121;Iodent;II;II;Poland;Iodent_II;Iodent
S12402_4_4;S12402_4_4;S1240244;Iodent;II;II;Poland;Iodent_II;Iodent
S12418;S12418;S12418;Iodent;II;II;Poland;Iodent_II;Iodent
S12544_1_2_2;S12544_1_2_2;S12544122;Iodent;II;II;Poland;Iodent_II;Iodent
S12607;S12607;S12607;Iodent;II;II;Poland;Iodent_II;Iodent
S14225_1;S14225_1;S142251;Iodent;II;II;Poland;Iodent_II;Iodent
S14237;S14237;S14237;Iodent;II;II;Poland;Iodent_II;Iodent
