VCFname;admix_cluster;Q_value;group;Q;era;origin;subgroup;heterotic_group;CV_mix;heterotic_final
B103;1;0.621916;NSS;Iodent;NA;US;none;none;no;Iodent
IBB15;1;0.746558;IDT;Iodent;II;US;Iodent;Iodent;no;Iodent
PHG50;1;0.771023;IDT;Iodent;II;US;Iodent;Iodent;no;Iodent
S014290;1;0.573505;Polskie;Iodent;II;Poland;none;none;no;Iodent
S040299A2;1;0.532944;Polskie;Iodent;II;Poland;none;none;no;Iodent
S040464A;1;0.534301;Polskie;Iodent;II;Poland;none;none;no;Iodent
S06881A;1;0.495646;Polskie;Iodent;II;Poland;none;none;yes;Mix
S12418;1;0.930544;Polskie;Iodent;II;Poland;none;none;no;Iodent
S14237;1;0.622799;Polskie;Iodent;II;Poland;none;none;no;Iodent
S16410;1;0.554554;Polskie;Iodent;II;Poland;none;none;no;Iodent
S16448A;1;0.647769;Polskie;Iodent;II;Poland;none;none;no;Iodent
S16582A;1;0.550787;Polskie;Iodent;II;Poland;none;none;no;Iodent
S245;1;0.505384;Polskie;Iodent;I;Poland;none;none;no;Iodent
S299;1;0.456954;Polskie;Mix;I;Poland;none;none;yes;Mix
S336A;1;0.430447;Polskie;Iodent;I;Poland;none;none;yes;Mix
S40620;1;0.592235;Polskie;Iodent;I;Poland;none;none;no;Iodent
S41789;1;0.999940;Polskie;Iodent;I;Poland;none;none;no;Iodent
S41796;1;0.999940;Polskie;Iodent;I;Poland;none;none;no;Iodent
S50676;1;0.756824;Polskie;Iodent;I;Poland;none;none;no;Iodent
S54555;1;0.936221;Polskie;Iodent;I;Poland;none;none;no;Iodent
S54793;1;0.999940;Polskie;Iodent;I;Poland;none;none;no;Iodent
S56125A;1;0.769538;Polskie;Iodent;I;Poland;none;none;no;Iodent
S63648;1;0.999940;Polskie;Iodent;I;Poland;none;none;no;Iodent
S64411;1;0.999940;Polskie;Iodent;I;Poland;none;none;no;Iodent
S64417;1;0.999940;Polskie;Iodent;I;Poland;none;none;no;Iodent
S64423_2;1;0.999940;Polskie;Iodent;I;Poland;none;none;no;Iodent
S64423_3;1;0.999940;Polskie;Iodent;I;Poland;none;none;no;Iodent
S67697;1;0.805154;Polskie;Iodent;II;Poland;none;none;no;Iodent
S68312;1;0.999940;Polskie;Iodent;II;Poland;none;none;no;Iodent
S68315A;1;0.999940;Polskie;Iodent;II;Poland;none;none;no;Iodent
S68911;1;0.761786;Polskie;Iodent;I;Poland;none;none;no;Iodent
S71533;1;0.974569;Polskie;Iodent;II;Poland;none;none;no;Iodent
S74002;1;0.999940;Polskie;Iodent;II;Poland;none;none;no;Iodent
S76671;1;0.715862;Polskie;Iodent;II;Poland;none;none;no;Iodent
S79292;1;0.999940;Polskie;Iodent;II;Poland;none;none;no;Iodent
S79621;1;0.707661;Polskie;Iodent;II;Poland;none;none;no;Iodent
S84854;1;0.705394;Polskie;Iodent;II;Poland;none;none;no;Iodent
SH04_52_119;1;0.708354;Polskie;Iodent;II;Poland;none;none;no;Iodent
SH17_08_8;1;0.486320;Polskie;Iodent;II;Poland;none;none;yes;Mix
