"ID","K1","K2","K3","K4","K5","Assigned_cluster","sample","condition","Taxa","ID.y","group","era","Q","origin","meta"
"5A3",1e-05,1e-05,1e-05,1e-05,0.99996,5,"K67_1_chilling","chilling","K67_1","K671","Zea mays subsp. mexicana","none","Mexicana","Mexicana","Zea mays subsp. mexicana"
"5B7",1e-05,1e-05,1e-05,1e-05,0.99996,5,"K68_1_cold","cold","K68_1","K681","Zea mays subsp. mexicana","none","Mexicana","Mexicana","Zea mays subsp. mexicana"
"5E3",1e-05,1e-05,0.153459,0.006248,0.840272,5,"K67_16_chilling","chilling","K67_16","K6716","Zea mays subsp. parviglumis","none","Parviglumis","Parviglumis","Zea mays subsp. parviglumis"
"6B10",1e-05,1e-05,1e-05,1e-05,0.99996,5,"MGB_CI10_chilling","chilling","MGB_CI10","MGBCI10","Zea mays subsp. mexicana","none","Mexicana","Mexicana","Zea mays subsp. mexicana"
"6B11",1e-05,1e-05,1e-05,1e-05,0.99996,5,"MGB_CI11_cold","cold","MGB_CI11","MGBCI11","Zea mays subsp. mexicana","none","Mexicana","Mexicana","Zea mays subsp. mexicana"
"6B2",1e-05,1e-05,1e-05,1e-05,0.99996,5,"MGB_CI2_chilling","chilling","MGB_CI2","MGBCI2","Zea mays subsp. mexicana","none","Mexicana","Mexicana","Zea mays subsp. mexicana"
"6B3",1e-05,1e-05,1e-05,1e-05,0.99996,5,"MGB_CI3_chilling","chilling","MGB_CI3","MGBCI3","Zea mays subsp. mexicana","none","Mexicana","Mexicana","Zea mays subsp. mexicana"
"6B4",1e-05,1e-05,1e-05,1e-05,0.99996,5,"MGB_CI4_chilling","chilling","MGB_CI4","MGBCI4","Zea mays subsp. mexicana","none","Mexicana","Mexicana","Zea mays subsp. mexicana"
"6B5",1e-05,1e-05,1e-05,1e-05,0.99996,5,"MGB_CI5_chilling","chilling","MGB_CI5","MGBCI5","Zea mays subsp. mexicana","none","Mexicana","Mexicana","Zea mays subsp. mexicana"
"6B6",1e-05,1e-05,1e-05,1e-05,0.99996,5,"MGB_CI6_chilling","chilling","MGB_CI6","MGBCI6","Zea mays subsp. mexicana","none","Mexicana","Mexicana","Zea mays subsp. mexicana"
"6C10",1e-05,1e-05,0.14098,1e-05,0.85899,5,"MGB_CI22_chilling","chilling","MGB_CI22","MGBCI22","Zea mays subsp. parviglumis","none","Parviglumis","Parviglumis","Zea mays subsp. parviglumis"
"6C11",1e-05,1e-05,0.147716,0.000574,0.85169,5,"MGB_CI23_chilling","chilling","MGB_CI23","MGBCI23","Zea mays subsp. parviglumis","none","Parviglumis","Parviglumis","Zea mays subsp. parviglumis"
"6C12",1e-05,1e-05,0.12465,1e-05,0.87532,5,"MGB_CI25_chilling","chilling","MGB_CI25","MGBCI25","Zea mays subsp. parviglumis","none","Parviglumis","Parviglumis","Zea mays subsp. parviglumis"
"6C6",1e-05,1e-05,1e-05,1e-05,0.99996,5,"MGBCL18_cold","cold","MGBCL18","MGBCL18","Zea mays subsp. mexicana","none","Mexicana","Mexicana","Zea mays subsp. mexicana"
"6C7",1e-05,1e-05,1e-05,1e-05,0.99996,5,"MGB_CI19_chilling","chilling","MGB_CI19","MGBCI19","Zea mays subsp. mexicana","none","Mexicana","Mexicana","Zea mays subsp. mexicana"
"6C8",1e-05,1e-05,1.5e-05,1e-05,0.999955,5,"MGB_CI20_chilling","chilling","MGB_CI20","MGBCI20","Zea mays subsp. mexicana","none","Mexicana","Mexicana","Zea mays subsp. mexicana"
"6C9",1e-05,0.034333,1e-05,1e-05,0.965637,5,"MGB_CI21_chilling","chilling","MGB_CI21","MGBCI21","Zea mays subsp. mexicana","none","Mexicana","Mexicana","Zea mays subsp. mexicana"
"6D1",1e-05,0.018459,0.119599,0.007653,0.854279,5,"MGB_CI26_chilling","chilling","MGB_CI26","MGBCI26","Zea mays subsp. parviglumis","none","Parviglumis","Parviglumis","Zea mays subsp. parviglumis"
"6D12",1e-05,1e-05,0.162428,1e-05,0.837542,5,"MGB_CI42_chilling","chilling","MGB_CI42","MGBCI42","Zea mays subsp. parviglumis","none","Parviglumis","Parviglumis","Zea mays subsp. parviglumis"
"6D2",1e-05,0.035162,0.076275,0.031889,0.856665,5,"MGB_CI27_chilling","chilling","MGB_CI27","MGBCI27","Zea mays subsp. parviglumis","none","Parviglumis","Parviglumis","Zea mays subsp. parviglumis"
"6D3",1e-05,0.01745,0.149252,0.008068,0.82522,5,"MGB_CI28_chilling","chilling","MGB_CI28","MGBCI28","Zea mays subsp. parviglumis","none","Parviglumis","Parviglumis","Zea mays subsp. parviglumis"
"6D4",1e-05,0.025822,0.138367,0.006193,0.829608,5,"MGB_CI29_chilling","chilling","MGB_CI29","MGBCI29","Zea mays subsp. parviglumis","none","Parviglumis","Parviglumis","Zea mays subsp. parviglumis"
"6D5",1e-05,0.026859,0.084497,0.002302,0.886332,5,"MGB_CI30_chilling","chilling","MGB_CI30","MGBCI30","Zea mays subsp. parviglumis","none","Parviglumis","Parviglumis","Zea mays subsp. parviglumis"
"6D8",1e-05,0.026267,0.115515,0.009957,0.848251,5,"MGB_CI38_chilling","chilling","MGB_CI38","MGBCI38","Zea mays subsp. parviglumis","none","Parviglumis","Parviglumis","Zea mays subsp. parviglumis"
"6D9",1e-05,1e-05,0.174267,0.001801,0.823913,5,"MGB_CI39_chilling","chilling","MGB_CI39","MGBCI39","Zea mays subsp. parviglumis","none","Parviglumis","Parviglumis","Zea mays subsp. parviglumis"
