"ID","K1","K2","K3","K4","K5","Assigned_cluster","sample","condition","Taxa","ID.y","group","era","Q","origin","meta"
"EP1",1e-05,0.035038,0.25522,0.497629,0.212103,4,"EP1_chilling","chilling","EP1","EP1","Sweet corn","","Mix",NA,"Mix__NA"
"F2",1e-05,0.06992,0.172416,0.565521,0.192133,4,"F2_chilling","chilling","F2","F2","Sweet corn",NA,"Mix",NA,"Mix_NA_NA"
"F7",1e-05,0.021878,0.316908,0.46578,0.195425,4,"F7_chilling","chilling","F7","F7","Sweet corn","","Mix",NA,"Mix__NA"
"FS16094A",1e-05,1e-05,1e-05,0.99996,1e-05,4,"FS16094A_chilling","chilling","FS16094A","FS16094A","Polskie","II","NSS","Poland","NSS_II_Poland"
"S019092_1",1e-05,1e-05,1e-05,0.99996,1e-05,4,"S019092_1_chilling","chilling","S019092_1","S0190921","Polskie","II","NSS","Poland","NSS_II_Poland"
"S022237A1",1e-05,1e-05,1e-05,0.99996,1e-05,4,"S022237A1_chilling","chilling","S022237A1","S022237A1","Polskie","II","NSS","Poland","NSS_II_Poland"
"S022588",1e-05,1e-05,1e-05,0.99996,1e-05,4,"S022588_cold","cold","S022588","S022588","Polskie","II","NSS","Poland","NSS_II_Poland"
"S09347",1e-05,1e-05,1e-05,0.99996,1e-05,4,"S09347_cold","cold","S09347","S09347","Polskie","II","NSS","Poland","NSS_II_Poland"
"S14036",1e-05,1e-05,1e-05,0.99996,1e-05,4,"S14036_chilling","chilling","S14036","S14036","Polskie","II","NSS","Poland","NSS_II_Poland"
"S14068A3",0.011107,1e-05,1e-05,0.988863,1e-05,4,"S14068A3_chilling","chilling","S14068A3","S14068A3","Polskie","II","NSS","Poland","NSS_II_Poland"
"S14189_1",1e-05,1.3e-05,1e-05,0.999957,1e-05,4,"S14189_1_chilling","chilling","S14189_1","S141891","Polskie","II","NSS","Poland","NSS_II_Poland"
"S14189_2",1.3e-05,1e-05,1.7e-05,0.99995,1e-05,4,"S14189_2_chilling","chilling","S14189_2","S141892","Polskie","II","NSS","Poland","NSS_II_Poland"
"S15153A_3",0.003236,1e-05,1e-05,0.996734,1e-05,4,"S15153A_3_chilling","chilling","S15153A_3","S15153A3","Polskie","II","NSS","Poland","NSS_II_Poland"
"S152",0.229491,0.207186,0.279586,0.283727,1e-05,4,"S152_chilling","chilling","S152","S152","Polskie","I","NSS","Poland","NSS_I_Poland"
"S17030",1e-05,2e-05,1e-05,0.99995,1e-05,4,"S17030_chilling","chilling","S17030","S17030","Polskie","II","NSS","Poland","NSS_II_Poland"
"S17041",0.058599,1e-05,1e-05,0.941371,1e-05,4,"S17041_chilling","chilling","S17041","S17041","Polskie","II","NSS","Poland","NSS_II_Poland"
"S17123_2",1e-05,1e-05,1e-05,0.99996,1e-05,4,"S17123_2_chilling","chilling","S17123_2","S171232","Polskie","II","NSS","Poland","NSS_II_Poland"
"S17134",0.057112,1e-05,1e-05,0.942858,1e-05,4,"S17134_chilling","chilling","S17134","S17134","Polskie","II","NSS","Poland","NSS_II_Poland"
"S17153_1",1e-05,1e-05,1.1e-05,0.999959,1e-05,4,"S17153_1_chilling","chilling","S17153_1","S171531","Polskie","II","NSS","Poland","NSS_II_Poland"
"S79757",0.214306,0.066917,1e-05,0.718757,1e-05,4,"S79757_chilling","chilling","S79757","S79757","Polskie","II","Mix","Poland","Mix_II_Poland"
"S80660A",1e-05,1e-05,1e-05,0.99996,1e-05,4,"S80660A_chilling","chilling","S80660A","S80660A","Polskie","II","NSS","Poland","NSS_II_Poland"
"SH13255_1",0.061835,1e-05,1e-05,0.938135,1e-05,4,"SH13225_1_chilling","chilling","SH13225_1","SH132551","Polskie","II","NSS","Poland","NSS_II_Poland"
"SH32_08_17",1e-05,1e-05,1e-05,0.99996,1e-05,4,"SH3208_17_chilling","chilling","SH3208_17","SH320817","Polskie","II","NSS","Poland","NSS_II_Poland"
"SR17011_19",1e-05,1e-05,1e-05,0.99996,1e-05,4,"SR17011_19_cold","cold","SR17011_19","SR1701119","Polskie","II","NSS","Poland","NSS_II_Poland"
"UH006",1e-05,0.082968,0.082951,0.688531,0.14554,4,"UH006_chilling","chilling","UH006","UH006",NA,NA,"NSS","US","NSS_NA_US"
"UH009",1e-05,0.024092,0.122534,0.734911,0.118452,4,"UH009_chilling","chilling","UH009","UH009",NA,NA,"NSS","US","NSS_NA_US"
