ID,K1,K2,K3,K4,K5,Assigned_cluster,sample,condition,Taxa,ID.y,group,era,Q,origin,meta
FS16094A,0.00001,0.00001,0.00001,0.99996,0.00001,4,FS16094A_chilling,chilling,FS16094A,FS16094A,Polskie,II,NSS,Poland,NSS_II_Poland
S014290,0.99996,0.00001,0.00001,0.00001,0.00001,1,S014290_chilling,chilling,S014290,S014290,Polskie,II,Iodent,Poland,Iodent_II_Poland
S014393_2,0.999958,0.000012,0.00001,0.00001,0.00001,1,S014393_2_chilling,chilling,S014393_2,S0143932,Polskie,II,Iodent,Poland,Iodent_II_Poland
S014393_3,0.99996,0.00001,0.00001,0.00001,0.00001,1,S014393_3_chilling,chilling,S014393_3,S0143933,Polskie,II,Iodent,Poland,Iodent_II_Poland
S019092_1,0.00001,0.00001,0.00001,0.99996,0.00001,4,S019092_1_chilling,chilling,S019092_1,S0190921,Polskie,II,NSS,Poland,NSS_II_Poland
S022237A1,0.00001,0.00001,0.00001,0.99996,0.00001,4,S022237A1_chilling,chilling,S022237A1,S022237A1,Polskie,II,NSS,Poland,NSS_II_Poland
S022588,0.00001,0.00001,0.00001,0.99996,0.00001,4,S022588_cold,cold,S022588,S022588,Polskie,II,NSS,Poland,NSS_II_Poland
S024136,0.999957,0.000013,0.00001,0.00001,0.00001,1,S024136_chilling,chilling,S024136,S024136,Polskie,II,Iodent,Poland,Iodent_II_Poland
S03199,0.98087,0.0191,0.00001,0.00001,0.00001,1,S03199_chilling,chilling,S03199,S03199,Polskie,II,Iodent,Poland,Iodent_II_Poland
S03729A,0.712299,0.105888,0.10184,0.079963,0.00001,1,S03729A_chilling,chilling,S03729A,S03729A,Polskie,II,Mix,Poland,Mix_II_Poland
S040299A2,0.933013,0.038823,0.00001,0.028143,0.00001,1,S040299A2_chilling,chilling,S040299A2,S040299A2,Polskie,II,Iodent,Poland,Iodent_II_Poland
S040464A,0.932325,0.039922,0.00001,0.027733,0.00001,1,S040464A_chilling,chilling,S040464A,S040464A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S041844,0.99996,0.00001,0.00001,0.00001,0.00001,1,S041844_chilling,chilling,S041844,S041844,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046306,0.964824,0.035146,0.00001,0.00001,0.00001,1,S046306_chilling,chilling,S046306,S046306,Polskie,II,Iodent,Poland,Iodent_II_Poland
S046392,0.985435,0.014535,0.00001,0.00001,0.00001,1,S046392_chilling,chilling,S046392,S046392,Polskie,II,Iodent,Poland,Iodent_II_Poland
S052662,0.99996,0.00001,0.00001,0.00001,0.00001,1,S052662_chilling,chilling,S052662,S052662,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06686,0.999948,0.000016,0.00001,0.000016,0.00001,1,S06686_chilling,chilling,S06686,S06686,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06757,0.999951,0.000014,0.000014,0.000011,0.00001,1,S06757_chilling,chilling,S06757,S06757,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06770,0.999954,0.000016,0.00001,0.00001,0.00001,1,S06770_chilling,chilling,S06770,S06770,Polskie,II,Iodent,Poland,Iodent_II_Poland
S06881A,0.927265,0.067544,0.00001,0.005171,0.00001,1,S06881A_chilling,chilling,S06881A,S06881A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S09347,0.00001,0.00001,0.00001,0.99996,0.00001,4,S09347_cold,cold,S09347,S09347,Polskie,II,NSS,Poland,NSS_II_Poland
S12211_21,0.966331,0.010019,0.00001,0.023629,0.00001,1,S12211_21_chilling,chilling,S12211_21,S1221121,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12371_2_3,0.99996,0.00001,0.00001,0.00001,0.00001,1,S12371_2_3_chilling,chilling,S12371_2_3,S1237123,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12394,0.811898,0.068847,0.039869,0.079376,0.00001,1,S12394_chilling,chilling,S12394,S12394,Polskie,II,Mix,Poland,Mix_II_Poland
S12402_4_4,0.99996,0.00001,0.00001,0.00001,0.00001,1,S12402_4_4_chilling,chilling,S12402_4_4,S1240244,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12418,0.99996,0.00001,0.00001,0.00001,0.00001,1,S12418_chilling,chilling,S12418,S12418,Polskie,II,Iodent,Poland,Iodent_II_Poland
S12442,0.500708,0.190387,0.024048,0.280968,0.003889,1,S12442_chilling,chilling,S12442,S12442,Polskie,II,Mix,Poland,Mix_II_Poland
